,STATIONS UP TRAINS,Virar 92012 15 CAR,Borivali 94104 12 CAR,Borivali 94106 12 CAR,Borivali 94106 12 CAR.1,Virar 94108 12 CAR,Virar 94108 12 CAR.1,Andheri 94110 12 CAR,Goregoan 94112 12 CAR,Goregoan 94112 12 CAR.1,Virar 92014 15 CAR,Virar 92014 15 CAR.1,Borivali 94114 12 CAR,Borivali 94114 12 CAR.1,Virar 90098 12 CAR,Virar 90098 12 CAR.1,Borivali 90100 12 CAR,Borivali 90100 12 CAR.1,Borivali 90100 12 CAR.2,Vasai Road 90102 12 CAR,Vasai Road 90102 12 CAR.1,Vasai Road 90102 12 CAR.2,Dahanu Road 93002 12 CAR,Dahanu Road 93002 12 CAR.1,Dahanu Road 93002 12 CAR.2,Borivali 90104 12 CAR,Borivali 90104 12 CAR.1,Borivali 90104 12 CAR.2,Virar 94006 12 CAR,Virar 94006 12 CAR.1,Virar 94006 12 CAR.2
79,Matunga Road,07:34,,,,,07:38,07:41,07:41,,,07:48,07:48,07:51,07:51,,,,,,,,,,,,07:58,07:58,07:58,08:02,08:02
80,DADAR,07:38,07:33,07:33,,,07:42,07:45,07:45,,,07:52,07:52,07:55,07:55,07:37,07:37,07:40,07:40,07:40,07:49,07:49,07:49,07:44,07:44,07:44,08:02,08:02,08:02,08:06,08:06
81,Prabhadevi,07:40,,,,,07:44,07:47,07:47,,,07:54,07:54,07:57,07:57,,,,,,,,,,,,08:04,08:04,08:04,08:08,08:08
82,Lower Parel,07:43,,,,,07:47,07:50,07:50,,,07:57,07:57,08:00,08:00,,,,,,,,,,,,08:07,08:07,08:07,08:11,08:11
83,Mahalakshmi,07:46,,,,,07:50,07:53,07:53,,,08:00,08:00,08:03,08:03,,,,,,,,,,,,08:10,08:10,08:10,08:14,08:14
84,M'BAI CENTRAL(L,07:49,07:40,07:40,,,07:53,07:56,07:56,,,08:03,08:03,08:06,08:06,07:44,07:44,07:47,07:47,07:47,07:56,07:56,07:56,07:51,07:51,07:51,08:13,08:13,08:13,08:17,08:17
85,Grant Road,07:51,07:42,07:42,,,07:55,07:58,07:58,,,08:05,08:05,08:08,08:08,,,07:49,07:49,07:49,07:58,07:58,07:58,07:53,07:53,07:53,08:15,08:15,08:15,08:19,08:19
86,Charni Road,07:53,07:44,07:44,,,07:57,08:00,08:00,,,08:07,08:07,08:10,08:10,,,07:51,07:51,07:51,08:00,08:00,08:00,07:55,07:55,07:55,08:17,08:17,08:17,08:22,08:22
87,Marine Lines,07:56,07:47,07:47,,,08:00,08:03,08:03,,,08:10,08:10,08:13,08:13,,,07:54,07:54,07:54,08:03,08:03,08:03,07:58,07:58,07:58,08:20,08:20,08:20,08:25,08:25
88,CHURCHGATE,08:00,07:50,07:50,,,08:03,08:07,08:07,,,08:14,08:14,08:18,08:18,07:54,07:54,07:57,07:57,07:57,08:08,08:08,08:08,08:03,08:03,08:03,08:24,08:24,08:24,08:30,08:30
